time,10Y2Y_Yield,US CLI,ISM New Orders,Building Permits,Consumer Confidence,PMI,4-Week MA Initial Unemployment Claims,SP500
5/1/81,-0.980173041,-0.494083587,0.762250185,1.796618255,-1.785468303,0.617934935,0.278589724,0.578357478
6/1/81,-0.871264926,-0.685997917,0.133728103,-0.629724959,-2.026544192,0.123586987,0.077353436,0.304349389
7/1/81,-1.274224954,-0.886092925,-0.320947446,-1.27592059,-1.951207977,-0.582624367,0.018999752,-0.15372581
8/1/81,-1.437587127,-1.090904723,-0.374438688,-1.733659276,-1.717665709,-0.300139826,-0.119414171,-0.612770509
9/1/81,-0.925718984,-1.31620507,-1.043079201,-2.128187544,-2.026544192,-1.324146289,-0.338993411,-1.102074055
10/1/81,0.043563246,-1.55263409,-1.310535406,-2.304768935,-2.237485595,-1.765528386,-0.448910923,-0.910432119
11/1/81,0.838592491,-1.78493592,-2.300123366,-2.276438442,-2.825108075,-2.454084456,-0.507819743,-1.270875587
12/1/81,0.381178405,-1.995422603,-1.457636319,-1.798208844,-2.689502887,-2.153944631,-0.682796438,-1.24854288
1/1/82,-0.108908116,-2.193527717,-1.350653837,-1.733870177,-2.184750244,-2.083323495,-0.554972692,-1.080053226
2/1/82,-0.446523274,-2.392590928,-1.524500371,-1.616820995,-2.523763213,-2.065668211,-0.411877071,-1.507747311
3/1/82,-0.370287593,-2.571681489,-1.283789786,-1.223777523,-2.862776182,-2.330497469,-0.467314155,-1.750447778
4/1/82,-0.130689739,-2.696528983,-1.216925734,-1.258242491,-2.599099429,-2.153944631,-0.551272051,-1.41498393
5/1/82,0.098017304,-2.75460444,-1.591364422,-0.929884555,-2.448426998,-2.560016159,-0.443950083,-1.662448293
6/1/82,-0.239597855,-2.740969973,-1.069824821,-0.320033247,-2.584032186,-2.065668211,-0.43150557,-1.673747102
7/1/82,0.55543139,-2.66491176,-1.243671355,0.577988573,-2.60663305,-2.048012927,-0.186084989,-1.783639481
8/1/82,0.893046549,-2.536747775,-1.323908217,0.206349931,-2.60663305,-2.065668211,-0.426660393,-0.802657135
9/1/82,0.544540579,-2.353456324,-1.283789786,1.141446516,-2.312821811,-1.977391792,-0.499780944,-0.403414352
10/1/82,0.936609795,-2.119238299,-1.083197632,2.835066632,-2.003943328,-1.871460089,-0.322645672,-0.020895739
11/1/82,0.90393736,-1.82539712,-1.136688873,3.188216787,-2.101880408,-1.906770657,-0.033266061,-0.025038218
12/1/82,0.958391418,-1.465668303,-0.534912411,3.456879817,-2.116947651,-1.271180438,0.326370704,0.298451772
1/1/83,1.328679012,-1.049780224,0.040118431,3.946398537,-2.229951974,-0.706211354,0.470274871,0.672366091
2/1/83,1.045517911,-0.597779233,1.417517888,4.068239697,-1.913539869,0.77683249,0.474665265,1.317220936
